气压,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z
0,-2.91417,0.489362,2.93161,-3.31108,-24.0133,-5.1809,-1.47515,-3.04816,1.3546,-9.37576,-49.8941,-3.94172,1.36667,-1.74293,4.73169,3.54194,-45.7951,0.684377
2,-3.44917,0.201436,3.02615,-3.86735,-23.9172,-5.49457,-2.12658,-3.13823,1.5341,-9.04106,-50.0624,-2.86432,1.97643,-0.537919,5.33989,3.64318,-46.1353,0.548232
4,-3.5158,0.281681,3.40603,-3.53147,-23.7471,-6.5916,-2.86985,-3.11628,0.882714,-8.88472,-50.1208,-2.05182,2.24649,0.161378,8.76542,3.46251,-46.8083,-0.653803
6,-3.08689,0.414021,2.41467,-3.08135,-24.4064,-3.22649,-1.98469,-3.15446,1.76625,-9.24605,-49.9188,-3.79597,2.11193,0.32821,10.1182,3.3784,-47.3425,-0.635106
8,-3.04838,0.309427,4.1434,-3.78082,-23.3117,-8.62791,-3.30496,-3.16092,0.363096,-8.44997,-50.7342,0.89221,2.73584,0.0785102,11.4826,2.83793,-47.7507,-2.097
10,-3.4594,0.3946,3.29872,-3.30284,-23.9558,-5.76187,-2.39706,-3.04564,0.920479,-8.43394,-50.6889,-0.399386,2.24367,-0.63169,13.3981,2.97581,-48.223,-1.75361
12,-4.10653,0.562901,2.77048,-2.5043,-24.6321,-3.47276,-2.58194,-3.69867,2.21817,-9.87214,-50.0314,-3.96663,2.52404,-0.350449,14.4228,3.50565,-48.7892,-1.02292
14,-2.89595,0.452157,3.52071,-3.49757,-23.2061,-7.44318,-2.9702,-3.58773,1.73024,-9.15122,-51.0984,-1.0553,2.24111,-0.256921,16.4083,3.63358,-49.3838,-0.684348
16,-3.86478,0.24554,3.22714,-3.55846,-23.5798,-6.02467,-1.58847,-3.22015,2.09343,-9.17555,-50.6506,-2.98001,1.87861,-0.513955,18.1938,3.3366,-49.9329,-1.15795
18,-3.75176,0.56122,2.97478,-2.64755,-24.0918,-4.76266,-2.14843,-3.38714,1.48718,-9.26246,-50.7559,-2.16919,2.49849,-0.451386,21.1868,3.1012,-50.3928,-2.73192
19,-3.76517,0.494886,2.94412,-2.71587,-24.2816,-4.33227,-1.25644,-2.98145,2.31853,-9.11439,-50.4227,-4.18235,1.31597,-1.00137,23.2325,3.64587,-51.6113,-0.936718
