气压,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z
0,-3.3144,-0.0155893,3.65425,-4.88325,-23.7956,-6.48177,-1.66542,-3.34294,1.66315,-8.41786,-49.9091,-2.92778,0.697163,-0.658906,4.28642,2.19609,-45.5132,0.0168393
5,-2.93271,0.0114818,3.87877,-5.20474,-23.5126,-6.92689,-1.39131,-2.95991,1.64237,-8.0603,-50.0742,-2.94072,0.686687,-4.7766,5.66224,1.93105,-46.1766,-0.234336
10,-2.35926,0.442334,4.06953,-4.39519,-23.577,-6.57472,-1.22243,-2.97203,2.23148,-7.86929,-50.2654,-3.02743,1.26524,-10.3549,4.84944,2.5282,-46.3977,0.912982
15,-1.77719,0.417014,4.23197,-5.17728,-23.0858,-7.27208,-0.770732,-3.10041,2.57227,-7.74465,-50.7117,-3.13196,0.968253,-15.6494,4.4963,2.44539,-46.7481,1.31041
1515,-2.05011,0.162555,4.22149,-4.43551,-23.9092,-5.84003,-0.819895,-3.31674,2.4771,-8.67937,-50.3682,-3.77851,1.30853,-16.2066,5.02389,2.21449,-46.8601,1.00652
20,-1.57485,0.432483,4.33091,-4.95367,-23.1253,-6.86267,-0.479342,-3.37585,2.7178,-8.38059,-50.7568,-3.61394,1.95495,-20.8706,4.31625,1.26675,-46.8572,0.303922
25,-1.1688,0.507321,4.64315,-4.80848,-23.1226,-7.09499,-0.0986824,-3.46582,2.78015,-8.80046,-51.0974,-3.77814,1.20855,-26.0307,3.77246,2.66733,-47.6538,2.37612
30,-0.540084,0.527132,4.66485,-5.63213,-22.0909,-8.04247,0.161908,-3.5746,2.73795,-8.73152,-51.2791,-3.66278,1.61691,-30.9952,3.63452,1.77958,-47.7822,1.78552
35,-0.234573,0.820881,4.73165,-4.97576,-22.0613,-7.92709,0.536552,-3.3466,2.56662,-8.72168,-51.4758,-3.74111,1.54998,-36.0301,3.22764,2.49777,-48.6368,3.06505
40,-0.180612,0.615766,4.70149,-4.61102,-22.6816,-6.72829,1.30442,-3.38156,2.6925,-10.7636,-49.7265,-6.44221,1.99198,-41.2143,2.79172,1.21525,-48.5666,2.29905
45,0.270561,0.772064,4.64639,-4.06751,-23.0522,-6.40868,1.44654,-3.4244,2.6328,-10.8584,-49.7352,-6.41335,1.6707,-46.426,2.65674,1.81503,-49.6672,3.63228
50,0.147434,5.52348,4.96172,-3.56774,-23.414,-6.08842,1.56071,-3.23807,2.18137,-10.8152,-49.0549,-6.52991,1.98851,-51.5263,2.7504,0.956607,-49.6506,3.11425
55,1.07617,1.00661,4.64449,-3.02428,-24.0009,-5.82537,1.59845,-3.28212,1.87748,-9.87169,-49.9998,-5.27623,2.35167,-56.8329,2.75815,-0.947669,-48.4209,1.76922
60,1.66806,1.10595,4.39019,-2.8073,-23.9499,-5.74613,2.07178,-3.77175,1.79359,-10.6884,-49.758,-5.81092,2.34086,-61.8086,2.47438,-1.49796,-48.3884,1.7335
6565,2.14939,1.05343,4.22894,-2.82627,-24.088,-6.10286,2.5284,-3.52122,1.51609,-9.88123,-49.577,-5.63337,2.84428,-66.8266,0.713177,-2.8908,-47.0642,-0.562341
70,2.70738,1.00045,3.97833,-2.87333,-24.0253,-6.42927,2.88062,-3.22063,0.950004,-9.63929,-49.4024,-6.18154,3.118,-72.3548,0.764302,-3.61092,-46.725,-0.931639
75,2.74098,1.16249,3.9775,-2.50369,-24.3007,-5.76842,3.53377,-3.44237,0.796111,-9.91617,-49.0853,-7.17063,2.92476,-77.1681,0.00267635,-3.70754,-46.8287,-0.0355907
80,3.04114,1.08767,3.37235,-2.55684,-24.7437,-5.27334,3.76993,-3.77904,0.874279,-10.0859,-49.4975,-6.7351,3.26208,-82.1637,0.0744649,-4.33415,-46.1502,-1.10237
85,3.41565,1.01539,3.43865,-2.64267,-24.7919,-5.45418,3.49247,-3.40721,0.0266496,-9.68052,-49.4324,-6.58936,2.5062,-87.3153,-0.0563039,-4.55034,-46.21,-0.149664
90,3.73666,0.6704,3.5949,-3.2974,-24.1749,-5.98985,3.71549,-3.35724,0.0609232,-9.44342,-49.6605,-6.36798,2.40693,-92.6303,-0.845206,-5.0011,-45.6819,-0.382266
